NAME,,,,CODE,,,Digit Match Level,,,,Count
ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,,,,6100000000,,,2 digit,,,,1
ALTERNATIVE MEDICINES,,,,9500000000,,,2 digit,,,,2
AMEBICIDES,,,,1400000000,,,2 digit,,,,3
AMINOGLYCOSIDES,,,,700000000,,,2 digit,,,,4
ANALGESICS - ANTI-INFLAMMATORY,,,,6600000000,,,2 digit,,,,5
ANALGESICS - NONNARCOTIC,,,,6400000000,,,2 digit,,,,6
ANALGESICS - OPIOID,,,,6500000000,,,2 digit,,,,7
ANDROGENS-ANABOLIC,,,,2300000000,,,2 digit,,,,8
ANORECTAL AGENTS,,,,8900000000,,,2 digit,,,,9
ANTACIDS,,,,4800000000,,,2 digit,,,,10
ANTHELMINTICS,,,,1500000000,,,2 digit,,,,11
ANTI-INFECTIVE AGENTS - MISC.,,,,1600000000,,,2 digit,,,,12
ANTIANGINAL AGENTS,,,,3200000000,,,2 digit,,,,13
ANTIANXIETY AGENTS,,,,5700000000,,,2 digit,,,,14
ANTIARRHYTHMICS,,,,3500000000,,,2 digit,,,,15
ANTIASTHMATIC AND BRONCHODILATOR AGENTS,,,,4400000000,,,2 digit,,,,16
ANTICOAGULANTS,,,,8300000000,,,2 digit,,,,17
ANTICONVULSANTS,,,,7200000000,,,2 digit,,,,18
ANTIDEPRESSANTS,,,,5800000000,,,2 digit,,,,19
ANTIDIABETICS,,,,2700000000,,,2 digit,,,,20
ANTIDIARRHEALS,,,,4700000000,,,2 digit,,,,21
ANTIDOTES,,,,9300000000,,,2 digit,,,,22
ANTIEMETICS,,,,5000000000,,,2 digit,,,,23
ANTIFUNGALS,,,,1100000000,,,2 digit,,,,24
ANTIHISTAMINES,,,,4100000000,,,2 digit,,,,25
ANTIHYPERLIPIDEMICS,,,,3900000000,,,2 digit,,,,26
ANTIHYPERTENSIVES,,,,3600000000,,,2 digit,,,,27
ANTIMALARIALS,,,,1300000000,,,2 digit,,,,28
ANTIMYASTHENIC AGENTS,,,,7600000000,,2 digit,,,,29,
ANTIMYCOBACTERIAL AGENTS,,,,900000000,,2 digit,,,,30,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES,,,,2100000000,,2 digit,,,,31,
ANTIPARKINSON AGENTS,,,,7300000000,,2 digit,,,,32,
ANTIPSYCHOTICS/ANTIMANIC AGENTS,,,,5900000000,,2 digit,,,,33,
ANTISEPTICS & DISINFECTANTS,,,,9200000000,,2 digit,,,,34,
ANTIVIRALS,,,,1200000000,,2 digit,,,,35,
ASSORTED CLASSES,,,,9900000000,,2 digit,,,,36,
BETA BLOCKERS,,,,3300000000,,2 digit,,,,37,
BIOLOGICALS MISC,,,,2000000000,,2 digit,,,,38,
CALCIUM CHANNEL BLOCKERS,,,,3400000000,,2 digit,,,,39,
CARDIOTONICS,,,,3100000000,,2 digit,,,,40,
CARDIOVASCULAR AGENTS - MISC.,,,,4000000000,,2 digit,,,,41,
CEPHALOSPORINS,,,,200000000,,2 digit,,,,42,
CHEMICALS,,,,9600000000,,2 digit,,,,43,
CONTRACEPTIVES,,,,2500000000,,2 digit,,,,44,
CORTICOSTEROIDS,,,,2200000000,,2 digit,,,,45,
COUGH/COLD/ALLERGY,,,,4300000000,,2 digit,,,,46,
DERMATOLOGICALS,,,,9000000000,,2 digit,,,,47,
DIAGNOSTIC PRODUCTS,,,,9400000000,,2 digit,,,,48,
DIETARY PRODUCTS/DIETARY MANAGEMENT PRODUCTS,,,,8100000000,,2 digit,,,,49,
DIGESTIVE AIDS,,,,5100000000,,2 digit,,,,50,
DIURETICS,,,,3700000000,,2 digit,,,,51,
ENDOCRINE AND METABOLIC AGENTS - MISC.,,,,3000000000,,2 digit,,,,52,
ESTROGENS,,,,2400000000,,2 digit,,,,53,
FLUOROQUINOLONES,,,,500000000,,2 digit,,,,54,
GASTROINTESTINAL AGENTS - MISC.,,,,5200000000,,2 digit,,,,55,
GENERAL ANESTHETICS,,,,7000000000,,2 digit,,,,56,
GENITOURINARY AGENTS - MISCELLANEOUS,,,,5600000000,,2 digit,,,,57,
GOUT AGENTS,,,,6800000000,,2 digit,,,,58,
HEMATOLOGICAL AGENTS - MISC.,,,,8500000000,,2 digit,,,,59,
HEMATOPOIETIC AGENTS,,,,8200000000,,2 digit,,,,60,
HEMOSTATICS,,,,8400000000,,2 digit,,,,61,
HYPNOTICS,,,,6000000000,,2 digit,,,,62,
LAXATIVES,,,,4600000000,,2 digit,,,,63,
LOCAL ANESTHETICS-PARENTERAL,,,,6900000000,,2 digit,,,,64,
MACROLIDES,,,,300000000,,2 digit,,,,65,
MEDICAL DEVICES,,,,9700000000,,2 digit,,,,66,
MIGRAINE PRODUCTS,,,,6700000000,,2 digit,,,,67,
MINERALS & ELECTROLYTES,,,,7900000000,,2 digit,,,,68,
MOUTH/THROAT/DENTAL AGENTS,,,,8800000000,,2 digit,,,,69,
MULTIVITAMINS,,,,7800000000,,2 digit,,,,70,
MUSCULOSKELETAL THERAPY AGENTS,,,,7500000000,,2 digit,,,,71,
NASAL AGENTS - SYSTEMIC AND TOPICAL,,,,4200000000,,2 digit,,,,72,
NEUROMUSCULAR AGENTS,,,,7400000000,,2 digit,,,,73,
NUTRIENTS,,,,8000000000,,2 digit,,,,74,
OPHTHALMIC AGENTS,,,,8600000000,,2 digit,,,,75,
OTIC AGENTS,,,,8700000000,,2 digit,,,,76,
OXYTOCICS,,,,2900000000,,2 digit,,,,77,
PASSIVE IMMUNIZING AGENTS,,,,1900000000,,2 digit,,,,78,
PENICILLINS,,,,100000000,,2 digit,,,,79,
PHARMACEUTICAL ADJUVANTS,,,,9800000000,,2 digit,,,,80,
PROGESTINS,,,,2600000000,,2 digit,,,,81,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS - MISC.,,,,6200000000,,2 digit,,,,82,
RESPIRATORY AGENTS - MISC.,,,,4500000000,,2 digit,,,,83,
SULFONAMIDES,,,,800000000,,2 digit,,,,84,
TETRACYCLINES,,,,400000000,,2 digit,,,,85,
THYROID AGENTS,,,,2800000000,,2 digit,,,,86,
TOXOIDS,,,,1800000000,,2 digit,,,,87,
ULCER DRUGS,,,,4900000000,,2 digit,,,,88,
URINARY ANTI-INFECTIVES,,,,5300000000,,2 digit,,,,89,
URINARY ANTISPASMODICS,,,,5400000000,,2 digit,,,,90,
VACCINES,,,,1700000000,,2 digit,,,,91,
VAGINAL PRODUCTS,,,,5500000000,,2 digit,,,,92,
VASOPRESSORS,,,,3800000000,,2 digit,,,,93,
VITAMINS,,,,7700000000,,2 digit,,,,94,
,,,,,,,,,,,
5-HT3 RECEPTOR ANTAGONISTS,,,,5025000000,,4 digit,,,,1,
ABORTIFACIENTS/AGENTS FOR CERVICAL RIPENING,,,,2920000000,,4 digit,,,,2,
ACE INHIBITORS,,,,3610000000,,4 digit,,,,3,
ACIDIFIERS,,,,5610000000,,4 digit,,,,4,
"ACIDS, BASES, & BUFFERS",,,,9610000000,,4 digit,,,,5,
ACNE PRODUCTS,,,,9005000000,,4 digit,,,,6,
AGENTS FOR CHEMICAL DEPENDENCY,,,,6280000000,,4 digit,,,,7,
AGENTS FOR EXTERNAL GENITAL AND PERIANAL WARTS,,,,9076000000,,4 digit,,,,8,
AGENTS FOR FACIAL WRINKLES,,,,9088000000,,4 digit,,,,9,
AGENTS FOR GAUCHER DISEASE,,,,8270000000,,4 digit,,,,10,
AGENTS FOR PHEOCHROMOCYTOMA,,,,3630000000,,4 digit,,,,11,
AGENTS FOR SICKLE CELL ANEMIA,,,,8280000000,,4 digit,,,,12,
ALKALINIZERS,,,,5620000000,,4 digit,,,,13,
ALKALIZING AGENTS,,,,9805000000,,4 digit,,,,14,
ALKYLATING AGENTS,,,,2110000000,,4 digit,,,,15,
ALLERGENIC EXTRACTS,,,,2010000000,,4 digit,,,,16,
ALPHA-2 RECEPTOR ANTAGONISTS (TETRACYCLICS),,,,5803000000,,4 digit,,,,17,
ALPHA-BETA BLOCKERS,,,,3330000000,,4 digit,,,,18,
ALPHA-GLUCOSIDASE INHIBITORS,,,,2750000000,,4 digit,,,,19,
ALPHA-PROTEINASE INHIBITOR (HUMAN),,,,4510000000,,4 digit,,,,20,
NAME,,,,CODE,,,Digit Match Level,,,,Count
ALS AGENTS,,,,7450000000,,,4 digit,,,,21
ALTERNATIVE MEDICINE - A'S,,,,9503000000,,,4 digit,,,,22
ALTERNATIVE MEDICINE - B'S,,,,9506000000,,,4 digit,,,,23
ALTERNATIVE MEDICINE - C'S,,,,9509000000,,,4 digit,,,,24
ALTERNATIVE MEDICINE - D'S,,,,9512000000,,,4 digit,,,,25
ALTERNATIVE MEDICINE - E'S,,,,9515000000,,,4 digit,,,,26
ALTERNATIVE MEDICINE - F'S,,,,9518000000,,,4 digit,,,,27
ALTERNATIVE MEDICINE - G'S,,,,9521000000,,,4 digit,,,,28
ALTERNATIVE MEDICINE - H'S,,,,9524000000,,,4 digit,,,,29
ALTERNATIVE MEDICINE - K'S,,,,9533000000,,,4 digit,,,,30
ALTERNATIVE MEDICINE - L'S,,,,9536000000,,,4 digit,,,,31
ALTERNATIVE MEDICINE - M'S,,,,9539000000,,,4 digit,,,,32
ALTERNATIVE MEDICINE - N'S,,,,9542000000,,,4 digit,,,,33
ALTERNATIVE MEDICINE - O'S,,,,9545000000,,,4 digit,,,,34
