"","NAME","CODE","Freq","Dig4"
"8","SALICYLATES","6410000000",1489,"6410"
"6","HMG COA REDUCTASE INHIBITORS","3940000000",1125,"3940"
"5","ANTIHYPERTENSIVE COMBINATIONS","3699000000",987,"3699"
"2","AZITHROMYCIN","340000000",903,"3400"
"3","CALCIUM CHANNEL BLOCKERS","3400000000",903,"3400"
"9","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDS)","6610000000",814,"6610"
"10","MULTIPLE VITAMINS W/ MINERALS","7831000000",637,"7831"
"7","PROTON PUMP INHIBITORS","4927000000",563,"4927"
"4","ACE INHIBITORS","3610000000",543,"3610"
"1","BETA BLOCKERS CARDIO-SELECTIVE","3320000000",526,"3320"
"13","MISC. NUTRITIONAL SUBSTANCES","8050000000",490,"8050"
"12","POTASSIUM","7970000000",469,"7970"
"11","CALCIUM","7910000000",458,"7910"
